M̻s,PrecipitacaoTotal
1,220.6
2,267.5
3,313.9
4,391.7
5,276.0
6,161.6
7,64.4
8,37.8
9,33.3
10,34.0
11,114.4
12,128.8
13,251.4
14,201.8
15,493.0
16,198.0
17,172.6
18,63.8
19,89.8
20,32.4
21,58.5
22,198.7
23,19.2
24,19.2
25,266.7
26,390.1
27,445.6
28,415.2
29,41.8
30,21.6
31,121.0
32,66.3
33,73.1
34,53.6
35,35,5
36,179.9
37,210.5
38,295.2
39,290.8
40,240.6
41,251.2
42,169.1
43,153.6
44,92.2
45,81.1
46,36.7
47,104.4
48,138.1
49,260.4
50,109.6
51,403.5
52,309.6
53,349.0
54,217.3
55,180.2
56,165.4
57,73.5
58,70.9
59,66.4
60,168.9